Datetime,Open,High,Low,Close,Volume,Close_prev,DayRangePrev,RelDayRange,TimeFilterLong,Trigger1Long,Trigger2Long,Trigger3Long,LongSignal,TimeFilterShort,Trigger1Short,Trigger2Short,Trigger3Short,ShortSignal,Position,TradeEntryPrice,TradeExitPrice,TradePnL,date
2023-11-15 09:30:00,3190.5,3190.5,3190.5,3190.5,1,3202.0,83.5,0.026171446481742675,True,True,True,False,0,True,True,False,True,0,-1,,3190.5,13.412765,2023-11-15
2023-12-07 11:20:00,3058.0,3062.0,3053.5,3054.0,74,3070.0,88.5,0.028978388998035363,True,True,True,False,0,True,True,False,True,0,-1,,3054.0,17.458495,2023-12-07
2023-12-12 10:20:00,3036.0,3041.0,3034.5,3037.0,92,3028.5,71.5,0.023542970036219954,True,True,False,True,0,True,True,True,False,0,1,,3037.0,7.9689499999999995,2023-12-12
2023-12-12 14:00:00,3025.5,3034.5,3022.0,3034.5,257,3028.5,71.5,0.023562366122919755,False,True,False,True,0,False,True,True,False,0,1,,3034.5,7.9698,2023-12-12
2023-12-15 09:10:00,2999.5,3007.5,2999.5,3003.0,30,2991.0,90.0,0.029970029970029972,True,True,False,True,0,True,True,True,False,0,1,,3003.0,11.481105,2023-12-15
2023-12-18 10:20:00,3069.5,3082.0,3068.5,3082.0,521,3061.0,104.5,0.03390655418559377,True,True,False,True,0,True,True,True,False,0,1,,3082.0,21.95603,2023-12-18
2024-01-09 23:40:00,3164.0,3164.0,3156.0,3162.5,30,3157.0,92.5,0.02924901185770751,False,True,False,True,0,False,True,True,True,0,-1,,3162.5,-6.0744,2024-01-09
2024-02-21 12:10:00,3173.5,3174.0,3160.0,3160.0,926,3174.5,74.0,0.02341772151898734,False,True,True,False,0,False,True,False,True,0,-1,,3160.0,17.422455,2024-02-21
2024-02-22 23:40:00,3161.5,3161.5,3161.0,3161.0,51,3151.5,79.5,0.025150268902246125,False,True,False,True,0,False,True,True,False,0,-1,,3161.0,-9.07338,2024-02-22
2024-03-19 17:10:00,3291.5,3291.5,3283.0,3286.0,708,3300.5,71.0,0.021606816798539256,False,False,True,False,0,False,True,False,True,0,-1,,3286.0,14.88004,2024-03-19
2024-03-25 13:10:00,3244.5,3244.5,3228.0,3235.5,797,3246.0,75.5,0.023334878689537937,False,True,True,False,0,False,True,False,True,0,-1,,3235.5,12.397635,2024-03-25
2024-03-26 14:10:00,3280.0,3280.5,3277.0,3277.0,172,3288.0,60.0,0.0183094293561184,False,False,True,False,0,False,True,False,True,0,-1,,3277.0,10.88378,2024-03-26
2024-05-21 10:40:00,3453.5,3453.5,3437.0,3438.5,853,3458.0,79.5,0.023120546750036355,True,True,True,False,0,True,True,False,True,0,-1,,3438.5,22.82683,2024-05-21
2024-05-29 10:20:00,3301.5,3302.0,3291.5,3295.5,914,3310.5,70.0,0.021241086329843728,True,False,True,False,0,True,True,False,True,0,-1,,3295.5,14.876809999999999,2024-05-29
2024-05-29 12:20:00,3306.5,3307.0,3300.0,3300.0,125,3310.5,70.0,0.021212121212121213,False,False,True,False,0,False,True,False,True,0,-1,,3300.0,11.375875,2024-05-29
2024-05-31 10:10:00,3256.0,3268.0,3249.0,3268.0,981,3260.0,95.5,0.029222766217870257,True,True,False,True,0,True,True,True,False,0,1,,3268.0,10.89092,2024-05-31
2024-05-31 13:00:00,3250.0,3250.0,3245.0,3248.0,322,3260.0,95.5,0.02940270935960591,False,True,True,False,0,False,True,False,True,0,-1,,3248.0,15.392875,2024-05-31
2024-06-03 10:10:00,3203.5,3215.5,3202.0,3215.0,1793,3205.0,96.5,0.030015552099533438,True,True,False,True,0,True,True,True,False,0,1,,3215.0,11.90911,2024-06-03
2024-06-03 10:40:00,3200.5,3203.0,3190.0,3190.5,874,3205.0,96.5,0.03024604293997806,True,True,True,False,0,True,True,False,True,0,-1,,3190.5,18.91183,2024-06-03
2024-06-04 09:40:00,3148.0,3150.0,3142.5,3144.0,296,3165.5,137.5,0.04373409669211196,True,True,True,False,0,True,True,False,True,0,-1,,3144.0,24.426705,2024-06-04
2024-06-04 11:00:00,3158.5,3162.5,3143.5,3144.0,1349,3165.5,137.5,0.04373409669211196,True,True,True,False,0,True,True,False,True,0,-1,,3144.0,27.426195,2024-06-04
2024-06-05 15:30:00,3205.5,3206.5,3196.0,3200.0,3549,3216.5,80.5,0.02515625,False,True,True,False,0,False,True,False,True,0,-1,,3200.0,15.90911,2024-06-05
2024-06-11 13:30:00,3165.5,3166.5,3160.0,3160.0,1296,3177.5,102.5,0.03243670886075949,False,True,True,False,0,False,True,False,True,0,-1,,3160.0,20.92186,2024-06-11
2024-06-17 11:20:00,3212.0,3212.0,3201.0,3202.0,882,3217.0,62.5,0.019519050593379137,True,False,True,False,0,True,True,False,True,0,-1,,3202.0,16.90826,2024-06-17
2024-06-19 10:00:00,3108.0,3110.0,3065.5,3070.0,2520,3105.0,86.0,0.028013029315960912,True,True,True,False,0,True,True,False,True,0,-1,,3070.0,36.449825,2024-06-19
2024-06-19 11:50:00,3097.0,3097.0,3084.0,3084.0,1106,3105.0,86.0,0.027885862516212712,True,True,True,False,0,True,True,False,True,0,-1,,3084.0,23.94719,2024-06-19
2024-06-20 10:00:00,3045.0,3072.5,3041.0,3061.5,1754,3046.0,93.0,0.030377266046055854,True,True,False,True,0,True,True,True,False,0,1,,3061.5,15.461895,2024-06-20
2024-06-21 11:00:00,3125.5,3129.0,3117.0,3118.5,765,3147.5,149.0,0.047779381112714445,True,False,True,False,0,True,True,False,True,0,-1,,3118.5,30.434355,2024-06-21
2024-06-24 13:00:00,3107.5,3108.0,3100.0,3100.0,407,3113.0,80.0,0.025806451612903226,False,True,True,False,0,False,True,False,True,0,-1,,3100.0,14.443365,2024-06-24
2024-06-26 23:40:00,3160.0,3161.5,3157.0,3157.0,78,3136.5,60.0,0.019005384859043396,False,False,False,True,0,False,True,True,False,0,-1,,3157.0,-20.570065,2024-06-26
2024-07-05 11:00:00,3125.0,3125.0,3114.0,3115.5,1182,3129.0,75.0,0.02407318247472316,True,True,True,False,0,True,True,False,True,0,-1,,3115.5,14.93801,2024-07-05
2024-07-15 13:00:00,2958.5,2962.5,2955.5,2955.5,430,2991.0,67.5,0.02283877516494671,False,True,True,False,0,False,True,False,True,0,1,,2955.5,-34.01048,2024-07-15
2024-07-16 11:10:00,2915.5,2919.0,2903.5,2903.5,850,2923.0,87.5,0.030136042707077666,True,True,True,False,0,True,True,False,True,0,-1,,2903.5,20.509155,2024-07-16
